1527251	John M. Budd		12689
1531650	V. Michael Bove Jr.		568
1536895	Russell H. Taylor		11120
1537710	Deborah G. Johnson		18675
1540339	Jonas Barklund		2943
1541971	James A. Young		7919
1544915	Eric N. Wiebe		13155
1553442	Marlene Scardamalia		16371
1557671	Christopher J. Lee		16766
1557881	George Kurian		568
1561670	Larry R. Smeltzer		4076
1563859	Ronald H. Stevens		16766
1566100	Steven A. McCornack		10065
1568902	Anne L. Drazek		0
1573232	Dennis D. Waskul		12754
1588059	David Hawkridge		12007
1595013	Johndan Johnson-Eilola		6239
1597524	Joop Hartog		2426
1616425	Harold L. Somers		12311
1616905	Katie Atkinson		12093
1627926	Ali Taylan Cemgil		5403
1629102	Christine St. Peter		17706
1630995	Mario Antonio Ribeiro Dantas		16984
1638568	Sharon-Lise T. Normand		446
1642815	Xin Yuan	袁新	487
1654154	David K. Farkas		18939
1656835	George R. Klare		13718
1660545	Daniel M. Berkowitz		737
1663893	James R. Walker		19084
1669413	Louis E. Raho		3612
1674312	Sebastien Goasguen		6253
1675887	Philip M. Hubbard		11450
1681351	Peter A. W. Lewis		5088
1683822	Joan C. Durrance		17233
1685792	Mark Levene		5116
1696076	Ran Wei		4076
1729523	Diane Carr		10672
1730113	Norman E. Fenton		14456
1736351	Trevor J.M. Bench-Capon		12093
1743356	Terry Lieberthal		0
1744627	Blair Macintyre		9014
1762053	Marleen H. Huysman		18877
1766244	Baruch Fischhoff		964
1770740	Nichola Dobson		0
1789052	Michael B. Twidale		687
1790524	Kristine L. Nowak		16795
1800182	Julia F. Knight		15796
1808112	Matthew Guy Smith		12093
1814368	David J. Weir		10527
1820968	Ajay Shah		13316
1826304	Eszter Hargittai		13470
1827464	Hilary Dent		9584
1828258	Barry G. Evans		15837
1849707	David J. Zajac		719
1864221	Holger C. Wolf		9095
1865932	Elizabeth T. Powers		687
1869027	Joseph A. Bonito		845
1869495	Julie Anne White		11965
1884871	Valerie J. Hobbs		12974
1886388	John Hughes		6059
1900442	Eric A. Dubois		18226
1900649	Alexander M. C. Halavais		14481
1905273	Irwin Feller		14286
1909575	Lev Manovich		775
