296	CGF	Computer Graphics Forum	http://www.blackwellpublishing.com/journal.asp?ref=0167-7055
297	CJ	The Computer Journal	http://www.oup.co.uk/computer_journal/
298	CL	Computer Languages, Systems & Structures	www.elsevier.com/locate/cl
299	CORR	Computing Research Repository	http://arxiv.org/corr/home
300	CSCW	Computer Supported Cooperative Work	http://www.wkap.nl/journalhome.htm/0925-9724
301	CSSE	Computer Systems: Science & Engineering	
302	CIE	Computers in Entertainment	http://www.acm.org/pubs/cie.html
303		Computing	http://link.springer.de/link/service/journals/00607/index.htm
304	CSYS	Computing Systems	www.usenix.org/publications/computing/
305	CONCURRENCY	Concurrency and Computation: Practice and Experience	http://www.interscience.wiley.com/jpages/1532-0626/
306	CONNECTION	Connection Science	http://taylorandfrancis.metapress.com/openurl.asp?genre=journal&issn=0954-0091
307	CONSTRAINTS	Constraints - An International Journal	www.springer.com/computer/ai/journal/10601
309		Cybernetics and Systems	http://www.tandf.co.uk/journals/tf/01969722.html
310	DLIB	D-lib Magazine	http://www.dlib.org/
311		ACM Sigmis Database	http://portal.acm.org/browse_dl.cfm?idx=J219
312	DATASCIENCE	Data Science Journal	http://www.codata.org/dsj/index.html
313	GIDR	Datenbank Rundbrief	http://dblp.uni-trier.de/db/journals/gidr/
314	DBSK	Datenbank-spektrum	http://www.datenbank-spektrum.de/
315	DUD	Datenschutz Und Datensicherheit	http://www.dud.de/
316	DTJ	Digital Technical Journal	http://www.hpl.hp.com/hpjournal/dtj/past.htm
318	DAM	Discrete Applied Mathematics	www.elsevier.com/locate/dam
319	DCG	Discrete & Computational Geometry	http://link.springer.de/link/service/journals/00454/index.htm
320	DC	Distributed Computing	http://link.springer.de/link/service/journals/00446/index.htm
321	EM	Electronic Markets	http://www.electronicmarkets.org
322	EPODD	Electronic Publishing - Origination, Dissemination and Design	http://cajun.cs.nott.ac.uk/compsci/epo/
323	EMISA	Emisa Forum	http://subs.emis.de/LNI/EMISA-Forum.html
324	EWC	Engineering With Computers	http://www.springerlink.com/content/102820/
325	EC	Evolutionary Computation	http://mitpress.mit.edu/journal-home.tcl?issn=10636560
326	GPEM	Genetic Programming and Evolvable Machines	http://www.wkap.nl/journalhome.htm/1389-2576
327	FIRSTMONDAY	First Monday	http://firstmonday.org/
328	FAC	Formal Aspects of Computing	http://www.springerlink.com/content/102822/
329	FUIN	Fundamenta Informaticae	http://iospress.metapress.com/openurl.asp?genre=journal&issn=0169-2968
330	FGCS	Future Generation Computer Systems	http://www.sciencedirect.com/science/journal/0167739X
331		Geoinformatica	http://www.wkap.nl/journalhome.htm/1384-6175
333	MISQE	Mis Quarterly Executive	http://www.misqe.org/
334	LNCS	Lecture Notes in Computer Science	http://www.springerlink.com/content/105633/
335	ACR	Advances in Computing Research	
336	CI	Computational Intelligence	http://www.blackwellpublishers.co.uk/asp/journal.asp?ref=0824-7935
337	TR	IEEE Transactions on Reliability	http://www.ieee.org/organizations/pubs/transactions/tr.htm
338	WWWJ	World Wide Web Journal	http://www.w3j.com/
339	ZMP	Zeitschrift Für Medienpsychologie	http://www.hogrefe.de/zeitschriften/zeitschrift-fuer-medienpsychologie/
340	CMGT	Computer Measurement Group Transactions	
341	COMPSEC	Computers & Security	www.elsevier.com/locate/cose
342	COMSIS	Computer Science and Information Systems	http://www.comsis.org/
343	COWO	Computerworld	http://www.computerworld.com/
345	CUZA	Scientific Annals of Cuza University	www.infoiasi.ro/bin/Annals/
346	CVGIP	Graphical Models /graphical Models and Image Processing /computer Vision, Graphics, and Image Processing	http://www.sciencedirect.com/science/journal/15240703
347	CYS	Computación Y Sistemas	http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-5546&nrm=iso&rep=&lng=es
348	DIDACTICA	Informatica Didactica	http://www.informatica-didactica.de/
349	AIEDAM	Ai Edam Artificial Intelligence for Engineering Design, Analysis and Manufacturing	http://journals.cambridge.org/action/displayJournal?jid=AIE
350	DM	Discrete Mathematics	http://www.sciencedirect.com/science/journal/0012365X
351	DQ	Data Quality Journal	http://www.dataquality.com/
352	DSE	Distributed Systems Engineering	http://www.iop.org/EJ/journal/0967-1846
353	EJC	European Journal of Combinatorics	http://www.sciencedirect.com/science/journal/01956698
354	EN	Electronic Networking: Research, Applications and Policy	
355	ENTCS	Electronic Notes in Theoretical Computer Science	http://www.entcs.org/
356	ENVSOFT	Environmental Modelling and Software	http://www.elsevier.com/locate/envsoft
357	ESE	Empirical Software Engineering	http://www.springerlink.com/content/100262/
358	ETS	Educational Technology & Society	www.ifets.info/
359	FSS	Fuzzy Sets and Systems	www.elsevier.com/locate/fss
360	BAPMAM	Bulletin L'académie Polonaise Des Science, Série Des Sciences Mathématiques, Astronomiques Et Physiques	
361	GIS	International Journal of Geographical Information Science	http://www.tandf.co.uk/journals/tf/13658816.html
362		Grammars	http://www.springerlink.com/content/1386-7393
363	IEEECC	IEEE Concurrency	http://computer.org/concurrency/
364	IEEEMM	IEEE Multimedia	http://ieeexplore.ieee.org/servlet/opac?punumber=93
365	IEPOL	Information Economics and Policy	http://www.sciencedirect.com/science/journal/01676245
