918989	Mark Rouncefield		17684
919158	David P. Gibson		5453
919682	Dang Van Hung		16371
920644	Karen Sparck Jones	Karen I. B. Spärck Jones	3120
922040	Karen et al Clay		964
922149	Thomas C. Buchmueller		17233
923597	Quentin T. Wodon		20550
924185	Michael H. F. Wilkinson		14919
925182	Isabelle M. M. J. Reymen		4012
925846	Barry Gholson		12517
926759	David Eisenberg		16766
927295	Piet Bracke		16541
929097	Massimo Zancanaro		2331
929514	Frank Hillebrandt		17629
930123	Minna Isomursu		1586
931538	Susanne Lohmann		16766
934120	Norman Frohlich		17188
934663	Kazuyuki Hiraoka	平岡和幸	14814
936103	Arne L. Kalleberg		719
938477	Chin-Ping Fung		3996
938949	Nicholas Moore		7801
942045	Keith Jeffery		3151
945902	Susan Rose-Ackerman		19433
948252	Xin Tong	童欣	20355
948652	Thomas L. Saaty		737
949212	Judith Segal		13782
949744	Claudio Cioffi-Revilla		9179
950434	Marc L. Busch		9095
950515	Barry C. Sanders		16690
951737	Charles Anderson		7306
953845	Alan Zaslavsky		446
953967	Michael E. Price		1403
956869	Sharon E. Straus		16371
957465	Bruce W. Watson		17327
958900	Geert Wets		17023
959086	Carl J. Couch		0
960749	Malte Faber		2153
961041	Ulrik Brandes		17629
962793	Patrizia Marti		17836
964584	Andreas Koch		16468
967586	So Young Sohn		19512
971847	Marc M. Van Hulle		11803
972419	Jonathan Gruber		568
973476	Giuseppe De Giacomo		17791
977381	Elizabeth Frankenberg		814
978520	Lakshmi Kanta Raut		21023
979488	Gi-Wook Shin		405
980705	S. Terada		1234
984853	Simon Schwartzman		23058
985281	David Rose		18520
987441	Harvey S. Rosen		14253
991845	Jack Gandour		14369
991965	Kathleen Segerson		16795
992110	Constance J Newman		3002
995791	John A. Rose		5253
996405	Stephan Hartmann		3874
997092	William N. Goetzmann		19433
997448	Stuart C. Shapiro		929
1003162	Peter G. Taylor		16728
1003209	John G. Harris		16955
1005271	Eric Mazur		446
1006147	Joseph E. Gyourko		18264
1008218	Mark A. Hlatky		405
1008645	Ville Oksanen		12781
1010704	Ian O’Donnell		16728
1010717	Robert D. Plotnick		18939
1016795	Jonathan Smith		18264
1017229	Bradley T. Ewing		16443
1018916	Daniel Sutter		16383
1018955	Lana M. Trick		18199
1021291	Wolff-Michael Roth		18628
1023040	Michael L. J. Maher		6375
1023297	Richard S. J. Tol		15848
1023530	Daniel B. Horn		2258
1023945	Elizabeth A. Kopits		401
1024009	Xuan Zhou		14742
1024079	Eric Dietrich		1932
1025202	Michael F. Schober		568
1025805	Maarten Hendrikus van der Vlerk		14747
1026682	Richard J. Anderson		18939
1026840	Terence Parsons		16766
1028203	Jonathan Furner		16766
1029906	Massoud Karshenas		15489
1031725	Fredrik Carlsson		11778
1032783	K. Jones		0
1033169	Christopher B. Jones		6030
1034949	G. Anne Bogat		10065
1035013	Maartje E. J. Raijmakers		2426
1037769	Joao Albino Silva	João Albino Silva	16587
1038053	Leo J. Gugerty		6253
1039282	Richard C. Davis		15456
1039466	Dennis Tao Yang		6704
1041794	Fabrice Caillette		12311
1043349	Henry Wai-chung Yeung		13610
1043454	Hugh Davis		3146
1044484	Edna Schechtman		5245
1045211	Frank Tendick		887
1045774	Albert W. Niemi		16998
1046820	Michael Bittman		17357
1047256	Jean-gabriel Ganascia		1654
1050374	Edward D. Mansfield		18264
1054321	Christopher Carroll		11120
1056933	Ronald L. Breiger		845
1057264	Jos Vander Sloten		11803
1058932	Kaare Christensen		4001
1060269	Barney G. Glaser		0
1060676	J. A. Davis		446
1070655	Marcus H. Miller		18935
1070920	Jonas Lundberg		2747
1072580	J. Gary Lutz		12022
1075748	Eric Laurier		7306
1084504	Basudeb Guha-Khasnobis		6558
1084985	Matthieu Latapy		1654
1085292	Harry J. P. Timmermans		4012
1086655	Richard M. Walker		6206
1088402	Stephen J. Lepore		16128
1088457	Jaap C. Hage		20800
